Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_1,1,white,foam,Non-Fiber,Whites,0,0,done,10.749,4.423,3.516,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_2,2,white,foam,Non-Fiber,Whites,0,has organic in it.,done,10.493,4.83,3.898,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_3,3,white,foam,Non-Fiber,Whites,0,0,done,4.368,3.181,2.126,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_4,4,green,fragment,Non-Fiber,Greens,0,0,done,0.824,1.532,0.716,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_5,5,blue,fragment,Non-Fiber,Blues,0,0,done,0.087,0.584,0.249,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_6,6,blue,fragment,Non-Fiber,Blues,0,0,done,0.194,0.789,0.346,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_7,7,blue,fragment,Non-Fiber,Blues,0,0,done,0.841,1.364,0.905,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_8,8,white,fragment,Non-Fiber,Whites,0,0,done,2.255,2.347,1.608,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_10,10,orange,fragment,Non-Fiber,Yellows,0,0,done,0.078,0.394,0.308,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_12,12,blue,fragment,Non-Fiber,Blues,0,0,done,1.53,2.748,0.94,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_13,13,white,foam,Non-Fiber,Whites,0,0,done,2.872,2.665,1.866,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_14,14,green,fragment,Non-Fiber,Greens,0,0,done,0.275,0.742,0.509,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_15,15,green,fragment,Non-Fiber,Greens,0,0,done,0.342,2.007,0.286,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_16,16,blue,fragment,Non-Fiber,Blues,0,0,done,0.103,0.569,0.289,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_17,17,clear,fragment,Non-Fiber,Transparent,0,0,done,4.213,3.967,1.497,0
SDC,1,BF-3,SDC-BF-3-N-1,SDC-BF-3,SDC-BF-3-N-1_S0-0_A_19,19,black,film,Non-Fiber,Blacks,0,0,done,0.461,1.005,0.649,0
