Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_F_10,10,black,fragment,Non-Fiber,Blacks,0,"thin and long particle, twists and turns",done,0.68,4.994,3.501,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-2_A_45,45,yellow,fragment,Non-Fiber,Yellows,0,0,0,0.236,4.992,2.83,33.042,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-5_D_39,39,green,fragment,Non-Fiber,Greens,0,0,0,0.000635,4.901,1.72,9.222,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_C_13,13,yellow,fragment,Non-Fiber,Yellows,0,0,0,6.789,4.897,2.684,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_D_50,50,black,fragment,Non-Fiber,Blacks,0,thin and long particle,done,0.688,4.847,1.224,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-5_C_64,64,brown,fragment,Non-Fiber,Blacks,0,thin long piece,0,0.154,4.793,0.898,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-2_A_48,48,yellow,fragment,Non-Fiber,Yellows,0,0,0,0.209,4.766,3.401,29.385,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-5_E_24,24,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.000508,4.685,1.533,6.586,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_A_13,13,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.00057,4.679,1.025,7.546,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_A_44,44,black,fragment,Non-Fiber,Blacks,0,0,0,1.754,4.559,1.719,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-1_B_45,45,yellow,fragment,Non-Fiber,Yellows,0,0,0,0.00045,4.495,1.158,5.43,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_C_32,32,red,fragment,Non-Fiber,Reds,0,0,0,0.71,4.431,1.673,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-1_B_60,60,green,fragment,Non-Fiber,Greens,0,0,0,0.000386,4.412,0.403,5.016,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-3_A_19,19,black,fragment,Non-Fiber,Blacks,0,0,done,0.000381,4.406,0.407,4.724,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_B_19,19,red,fragment,Non-Fiber,Reds,0,0,0,0.324,4.405,1.81,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-2_A_66,66,green,fragment,Non-Fiber,Greens,0,0,0,0.054,4.383,1.754,7.594,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-1_B_37,37,red,fragment,Non-Fiber,Reds,0,0,0,0.000386,4.359,0.638,4.998,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_B_29,29,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.045,4.324,0.817,5.46,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-1_A_7,7,clear,fragment,Non-Fiber,Transparent,0,long thin piece,done,0.037,4.196,0.492,4.426,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-5_D_6,6,green,fragment,Non-Fiber,Greens,0,0,0,0.718,3.992,1.714,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-1_A_2,2,black,TRWP,Non-Fiber,Blacks,0,0,done,2.518,3.99,3.016,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-4_B_1,1,blue,fragment,Non-Fiber,Blues,0,0,0,0.47,3.876,2.138,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-3_A_26,26,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.001,3.835,1.896,17.137,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-3_C_46,46,gray,fragment,Non-Fiber,Blacks,0,0,0,0.000386,3.808,0.671,4.887,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_F_32,32,black,fragment,Non-Fiber,Blacks,0,"thin and long particle, does not break and very flexible",done,0.206,3.75,1.794,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-1_B_35,35,yellow,fragment,Non-Fiber,Yellows,0,0,0,0.775,3.688,0.534,0,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-2_A_67,67,clear,fragment,Non-Fiber,Transparent,0,0,0,5.397,3.685,2.237,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-4_C_31,31,yellow,fragment,Non-Fiber,Yellows,0,0,0,0.000295,3.629,1.357,5.055,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-2_A_18,18,clear,fragment,Non-Fiber,Transparent,0,thin long piece,0,0.000316,3.62,0.889,4.275,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-2_A_72,72,black,film,Non-Fiber,Blacks,0,0,0,0.083,3.544,2.239,11.559,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-1_B_47,47,clear,fragment,Non-Fiber,Transparent,0,0,0,0.000707,3.487,1.241,9.59,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-3_B_63,63,red,fragment,Non-Fiber,Reds,0,"long, thin piece",done,0.157,3.333,0.172,0,sub
SAD,2,SF-4,SAD-SF-4-N-2,SAD-SF-4,SAD-SF-4-N-2_S1-2_A_47,47,white,fragment,Non-Fiber,Whites,0,0,0,1.731,3.321,0.861,0,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-1_B_51,51,yellow,fragment,Non-Fiber,Yellows,0,0,0,0.000322,3.309,0.576,3.754,sub
SAD,3,SF-4,SAD-SF-4-N-3,SAD-SF-4,SAD-SF-4-N-3_S1-3_E_10,10,clear,fragment,Non-Fiber,Transparent,0,0,0,0.04,3.247,0.826,4.389,sub
SAD,1,SF-4,SAD-SF-4-N-1,SAD-SF-4,SAD-SF-4-N-1_S1-4_A_75,75,blue,fragment,Non-Fiber,Blues,0,0,0,0.000197,3.244,0.341,3.334,sub
